zona,nombrePuesto,numeroMesa,votosRodolfo,votosPetro,votosBlanco,votosNulos,votosNoMarcados,votosTotales,recuento
24,I.E. RAFAEL URIBE URIBE,1,218,30,2,1,1,252,no
24,I.E. RAFAEL URIBE URIBE,2,234,60,4,1,0,299,no
24,I.E. RAFAEL URIBE URIBE,3,248,47,4,0,0,299,no
24,I.E. RAFAEL URIBE URIBE,4,196,46,2,2,0,246,no
24,I.E. RAFAEL URIBE URIBE,5,240,18,2,2,1,263,no
24,I.E. RAFAEL URIBE URIBE,6,222,31,3,2,1,259,no
24,I.E. RAFAEL URIBE URIBE,7,224,31,4,0,0,259,no
24,I.E. RAFAEL URIBE URIBE,8,240,41,7,1,0,289,no
24,I.E. RAFAEL URIBE URIBE,9,275,23,7,0,1,306,no
24,I.E. RAFAEL URIBE URIBE,10,247,39,9,2,0,297,no
24,I.E. RAFAEL URIBE URIBE,11,245,36,10,0,0,291,no
24,I.E. RAFAEL URIBE URIBE,12,277,37,6,0,0,320,no
24,I.E. RAFAEL URIBE URIBE,13,269,35,8,1,0,313,no
24,I.E. RAFAEL URIBE URIBE,14,216,57,16,2,1,292,no
24,I.E. RAFAEL URIBE URIBE,15,237,30,8,3,0,278,no
24,I.E. RAFAEL URIBE URIBE,16,232,35,15,0,0,282,no
24,I.E. RAFAEL URIBE URIBE,17,193,63,12,4,0,272,no
24,I.E. RAFAEL URIBE URIBE,18,227,67,7,3,0,304,no
24,I.E. RAFAEL URIBE URIBE,19,219,60,7,1,0,287,no
24,I.E. RAFAEL URIBE URIBE,20,255,49,5,1,0,310,no
24,I.E. RAFAEL URIBE URIBE,21,227,55,4,0,0,286,no
24,I.E. RAFAEL URIBE URIBE,22,225,64,8,1,0,298,no
24,I.E. RAFAEL URIBE URIBE,23,211,61,7,2,0,281,no
24,I.E. RAFAEL URIBE URIBE,24,100,125,13,4,0,242,no
24,I.E. RAFAEL URIBE URIBE,25,145,115,12,5,0,277,no
24,I.E. RAFAEL URIBE URIBE,26,90,78,12,1,0,181,no
24,SEC.ESC.RAFAEL URIBE URIBE,1,263,49,7,3,0,322,no
24,SEC.ESC.RAFAEL URIBE URIBE,2,223,55,8,2,0,288,no
24,SEC.ESC.RAFAEL URIBE URIBE,3,119,97,13,0,0,231,no
24,SEC.ESC.RAFAEL URIBE URIBE,4,105,128,14,2,0,249,no
